date,usages.x,usages.y,usage,daynight
2020-11-25T11:00:00Z,0,747,747,1
2020-11-25T12:00:00Z,0,481,481,1
2020-11-25T13:00:00Z,0,304,304,1
2020-11-25T14:00:00Z,0,270,270,1
2020-11-25T15:00:00Z,0,312,312,1
2020-11-25T16:00:00Z,0,167,167,1
2020-11-25T17:00:00Z,135,0,135,1
2020-11-25T18:00:00Z,70,0,70,1
2020-11-25T19:00:00Z,290,0,290,1
2020-11-25T20:00:00Z,414,0,414,1
2020-11-25T21:00:00Z,606,0,606,1
2020-11-25T22:00:00Z,304,0,304,0
2020-11-25T23:00:00Z,137,0,137,0
2020-11-26T00:00:00Z,231,0,231,0
2020-11-26T01:00:00Z,1,179,180,0
2020-11-26T02:00:00Z,0,128,128,0
2020-11-26T03:00:00Z,0,69,69,0
2020-11-26T04:00:00Z,0,37,37,0
2020-11-26T05:00:00Z,0,189,189,0
2020-11-26T06:00:00Z,0,461,461,1
2020-11-26T07:00:00Z,0,401,401,1
2020-11-26T08:00:00Z,0,332,332,1
2020-11-26T09:00:00Z,0,405,405,1
2020-11-26T10:00:00Z,0,268,268,1
2020-11-26T11:00:00Z,0,329,329,1
2020-11-26T12:00:00Z,0,312,312,1
2020-11-26T13:00:00Z,0,310,310,1
2020-11-26T14:00:00Z,0,375,375,1
2020-11-26T15:00:00Z,0,262,262,1
2020-11-26T16:00:00Z,0,291,291,1
2020-11-26T17:00:00Z,105,1,106,1
2020-11-26T18:00:00Z,74,0,74,1
2020-11-26T19:00:00Z,134,0,134,1
2020-11-26T20:00:00Z,516,0,516,1
2020-11-26T21:00:00Z,102,0,102,1
2020-11-26T22:00:00Z,589,0,589,0
2020-11-26T23:00:00Z,78,0,78,0
2020-11-27T00:00:00Z,106,0,106,0
2020-11-27T01:00:00Z,1,516,517,0
2020-11-27T02:00:00Z,0,922,922,0
2020-11-27T03:00:00Z,0,382,382,0
2020-11-27T04:00:00Z,0,348,348,0
2020-11-27T05:00:00Z,0,408,408,0
2020-11-27T06:00:00Z,0,403,403,1
2020-11-27T07:00:00Z,0,753,753,1
2020-11-27T08:00:00Z,0,1626,1626,1
2020-11-27T09:00:00Z,0,327,327,1
2020-11-27T10:00:00Z,0,352,352,1
2020-11-27T11:00:00Z,0,433,433,1
2020-11-27T12:00:00Z,0,598,598,1
2020-11-27T13:00:00Z,0,711,711,1
2020-11-27T14:00:00Z,0,357,357,1
2020-11-27T15:00:00Z,0,357,357,1
2020-11-27T16:00:00Z,0,237,237,1
2020-11-27T17:00:00Z,78,1,79,1
2020-11-27T18:00:00Z,65,0,65,1
2020-11-27T19:00:00Z,573,0,573,1
2020-11-27T20:00:00Z,71,0,71,1
2020-11-27T21:00:00Z,537,0,537,1
2020-11-27T22:00:00Z,104,0,104,0
2020-11-27T23:00:00Z,44,0,44,0
2020-11-28T00:00:00Z,146,0,146,0
2020-11-28T01:00:00Z,0,215,215,0
2020-11-28T02:00:00Z,0,622,622,0
2020-11-28T03:00:00Z,0,488,488,0
2020-11-28T04:00:00Z,0,896,896,0
2020-11-28T05:00:00Z,0,328,328,0
2020-11-28T06:00:00Z,0,503,503,1
2020-11-28T07:00:00Z,0,420,420,1
2020-11-28T08:00:00Z,0,1117,1117,1
2020-11-28T09:00:00Z,0,1687,1687,1
2020-11-28T10:00:00Z,0,458,458,1
2020-11-28T11:00:00Z,0,337,337,1
2020-11-28T12:00:00Z,0,346,346,1
2020-11-28T13:00:00Z,0,418,418,1
2020-11-28T14:00:00Z,0,287,287,1
2020-11-28T15:00:00Z,0,287,287,1
2020-11-28T16:00:00Z,0,271,271,1
2020-11-28T17:00:00Z,140,1,141,1
2020-11-28T18:00:00Z,102,0,102,1
2020-11-28T19:00:00Z,108,0,108,1
2020-11-28T20:00:00Z,533,0,533,1
2020-11-28T21:00:00Z,296,0,296,1
2020-11-28T22:00:00Z,392,0,392,0
2020-11-28T23:00:00Z,39,0,39,0
2020-11-29T00:00:00Z,167,0,167,0
2020-11-29T01:00:00Z,243,0,243,0
2020-11-29T02:00:00Z,306,0,306,0
2020-11-29T03:00:00Z,675,0,675,0
2020-11-29T04:00:00Z,588,0,588,0
2020-11-29T05:00:00Z,2072,0,2072,0
2020-11-29T06:00:00Z,594,0,594,1
2020-11-29T07:00:00Z,524,0,524,1
2020-11-29T08:00:00Z,476,0,476,1
2020-11-29T09:00:00Z,347,0,347,1
2020-11-29T10:00:00Z,1817,0,1817,1
2020-11-29T11:00:00Z,636,0,636,1
2020-11-29T12:00:00Z,648,0,648,1
2020-11-29T13:00:00Z,236,0,236,1
2020-11-29T14:00:00Z,285,0,285,1
2020-11-29T15:00:00Z,251,0,251,1
2020-11-29T16:00:00Z,234,0,234,1
2020-11-29T17:00:00Z,90,0,90,1
2020-11-29T18:00:00Z,40,0,40,1
2020-11-29T19:00:00Z,143,0,143,1
2020-11-29T20:00:00Z,565,0,565,1
2020-11-29T21:00:00Z,412,0,412,1
2020-11-29T22:00:00Z,277,0,277,0
2020-11-29T23:00:00Z,42,0,42,0
2020-11-30T00:00:00Z,70,0,70,0
2020-11-30T01:00:00Z,153,0,153,0
2020-11-30T02:00:00Z,1107,0,1107,0
2020-11-30T03:00:00Z,552,0,552,0
2020-11-30T04:00:00Z,1598,0,1598,0
2020-11-30T05:00:00Z,931,0,931,0
2020-11-30T06:00:00Z,532,0,532,1
2020-11-30T07:00:00Z,581,0,581,1
2020-11-30T08:00:00Z,423,0,423,1
2020-11-30T09:00:00Z,449,0,449,1
2020-11-30T10:00:00Z,468,0,468,1
2020-11-30T11:00:00Z,335,0,335,1
2020-11-30T12:00:00Z,1131,0,1131,1
2020-11-30T13:00:00Z,835,0,835,1
2020-11-30T14:00:00Z,373,0,373,1
2020-11-30T15:00:00Z,1366,0,1366,1
2020-11-30T16:00:00Z,358,0,358,1
2020-11-30T17:00:00Z,136,0,136,1
2020-11-30T18:00:00Z,60,0,60,1
2020-11-30T19:00:00Z,72,0,72,1
2020-11-30T20:00:00Z,131,0,131,1
2020-11-30T21:00:00Z,51,0,51,1
2020-11-30T22:00:00Z,42,0,42,0
2020-11-30T23:00:00Z,145,0,145,0
2020-12-01T00:00:00Z,231,0,231,0
2020-12-01T01:00:00Z,0,195,195,0
2020-12-01T02:00:00Z,0,131,131,0
2020-12-01T03:00:00Z,0,79,79,0
2020-12-01T04:00:00Z,0,37,37,0
2020-12-01T05:00:00Z,0,49,49,0
2020-12-01T06:00:00Z,0,126,126,1
2020-12-01T07:00:00Z,0,109,109,1
2020-12-01T08:00:00Z,0,202,202,1
2020-12-01T09:00:00Z,0,215,215,1
2020-12-01T10:00:00Z,0,179,179,1
2020-12-01T11:00:00Z,0,527,527,1
2020-12-01T12:00:00Z,0,351,351,1
2020-12-01T13:00:00Z,0,438,438,1
2020-12-01T14:00:00Z,0,367,367,1
2020-12-01T15:00:00Z,0,359,359,1
2020-12-01T16:00:00Z,0,302,302,1
2020-12-01T17:00:00Z,50,0,50,1
2020-12-01T18:00:00Z,88,0,88,1
2020-12-01T19:00:00Z,141,0,141,1
2020-12-01T20:00:00Z,555,0,555,1
2020-12-01T21:00:00Z,317,0,317,1
2020-12-01T22:00:00Z,460,0,460,0
2020-12-01T23:00:00Z,115,0,115,0
2020-12-02T00:00:00Z,108,0,108,0
2020-12-02T01:00:00Z,0,498,498,0
2020-12-02T02:00:00Z,0,324,324,0
2020-12-02T03:00:00Z,0,353,353,0
2020-12-02T04:00:00Z,0,438,438,0
2020-12-02T05:00:00Z,0,335,335,0
2020-12-02T06:00:00Z,0,458,458,1
2020-12-02T07:00:00Z,0,280,280,1
2020-12-02T08:00:00Z,0,341,341,1
2020-12-02T09:00:00Z,0,422,422,1
2020-12-02T10:00:00Z,0,339,339,1
2020-12-02T11:00:00Z,0,413,413,1
2020-12-02T12:00:00Z,0,338,338,1
2020-12-02T13:00:00Z,0,356,356,1
2020-12-02T14:00:00Z,0,848,848,1
2020-12-02T15:00:00Z,0,449,449,1
2020-12-02T16:00:00Z,0,703,703,1
2020-12-02T17:00:00Z,88,1,89,1
2020-12-02T18:00:00Z,124,0,124,1
2020-12-02T19:00:00Z,50,0,50,1
2020-12-02T20:00:00Z,96,0,96,1
2020-12-02T21:00:00Z,99,0,99,1
2020-12-02T22:00:00Z,64,0,64,0
2020-12-02T23:00:00Z,126,0,126,0
2020-12-03T00:00:00Z,246,0,246,0
2020-12-03T01:00:00Z,0,183,183,0
2020-12-03T02:00:00Z,0,128,128,0
2020-12-03T03:00:00Z,0,60,60,0
2020-12-03T04:00:00Z,0,38,38,0
2020-12-03T05:00:00Z,0,121,121,0
2020-12-03T06:00:00Z,0,317,317,1
2020-12-03T07:00:00Z,0,326,326,1
2020-12-03T08:00:00Z,0,276,276,1
2020-12-03T09:00:00Z,0,523,523,1
2020-12-03T10:00:00Z,0,361,361,1
2020-12-03T11:00:00Z,0,544,544,1
2020-12-03T12:00:00Z,0,309,309,1
2020-12-03T13:00:00Z,0,344,344,1
2020-12-03T14:00:00Z,0,320,320,1
2020-12-03T15:00:00Z,0,242,242,1
2020-12-03T16:00:00Z,0,309,309,1
2020-12-03T17:00:00Z,108,1,109,1
2020-12-03T18:00:00Z,86,0,86,1
2020-12-03T19:00:00Z,129,0,129,1
2020-12-03T20:00:00Z,532,0,532,1
2020-12-03T21:00:00Z,116,0,116,1
2020-12-03T22:00:00Z,590,0,590,0
2020-12-03T23:00:00Z,55,0,55,0
2020-12-04T00:00:00Z,270,0,270,0
2020-12-04T01:00:00Z,1,192,193,0
2020-12-04T02:00:00Z,0,79,79,0
2020-12-04T03:00:00Z,0,112,112,0
2020-12-04T04:00:00Z,0,37,37,0
2020-12-04T05:00:00Z,0,60,60,0
2020-12-04T06:00:00Z,0,126,126,1
2020-12-04T07:00:00Z,0,44,44,1
2020-12-04T08:00:00Z,0,37,37,1
2020-12-04T09:00:00Z,0,127,127,1
2020-12-04T10:00:00Z,0,384,384,1
2020-12-04T11:00:00Z,0,328,328,1
2020-12-04T12:00:00Z,0,311,311,1
2020-12-04T13:00:00Z,0,252,252,1
2020-12-04T14:00:00Z,0,333,333,1
2020-12-04T15:00:00Z,0,343,343,1
2020-12-04T16:00:00Z,0,349,349,1
2020-12-04T17:00:00Z,106,0,106,1
2020-12-04T18:00:00Z,127,0,127,1
2020-12-04T19:00:00Z,84,0,84,1
2020-12-04T20:00:00Z,514,0,514,1
2020-12-04T21:00:00Z,181,0,181,1
2020-12-04T22:00:00Z,517,0,517,0
2020-12-04T23:00:00Z,75,0,75,0
2020-12-05T00:00:00Z,153,0,153,0
2020-12-05T01:00:00Z,1,323,324,0
2020-12-05T02:00:00Z,0,1073,1073,0
2020-12-05T03:00:00Z,0,2205,2205,0
2020-12-05T04:00:00Z,0,352,352,0
2020-12-05T05:00:00Z,0,823,823,0
2020-12-05T06:00:00Z,0,1930,1930,1
2020-12-05T07:00:00Z,0,434,434,1
2020-12-05T08:00:00Z,0,259,259,1
2020-12-05T09:00:00Z,0,416,416,1
2020-12-05T10:00:00Z,0,333,333,1
2020-12-05T11:00:00Z,0,1790,1790,1
2020-12-05T12:00:00Z,0,284,284,1
2020-12-05T13:00:00Z,0,319,319,1
2020-12-05T14:00:00Z,0,742,742,1
2020-12-05T15:00:00Z,0,1290,1290,1
2020-12-05T16:00:00Z,0,320,320,1
2020-12-05T17:00:00Z,173,0,173,1
2020-12-05T18:00:00Z,146,0,146,1
2020-12-05T19:00:00Z,54,0,54,1
2020-12-05T20:00:00Z,596,0,596,1
2020-12-05T21:00:00Z,105,0,105,1
2020-12-05T22:00:00Z,508,0,508,0
2020-12-05T23:00:00Z,142,0,142,0
2020-12-06T00:00:00Z,113,0,113,0
2020-12-06T01:00:00Z,100,0,100,0
2020-12-06T02:00:00Z,307,0,307,0
2020-12-06T03:00:00Z,717,0,717,0
2020-12-06T04:00:00Z,443,0,443,0
2020-12-06T05:00:00Z,379,0,379,0
2020-12-06T06:00:00Z,547,0,547,1
2020-12-06T07:00:00Z,356,0,356,1
2020-12-06T08:00:00Z,2146,0,2146,1
2020-12-06T09:00:00Z,1072,0,1072,1
2020-12-06T10:00:00Z,446,0,446,1
2020-12-06T11:00:00Z,1795,0,1795,1
2020-12-06T12:00:00Z,840,0,840,1
2020-12-06T13:00:00Z,641,0,641,1
2020-12-06T14:00:00Z,299,0,299,1
2020-12-06T15:00:00Z,1466,0,1466,1
2020-12-06T16:00:00Z,236,0,236,1
2020-12-06T17:00:00Z,140,0,140,1
2020-12-06T18:00:00Z,75,0,75,1
2020-12-06T19:00:00Z,67,0,67,1
2020-12-06T20:00:00Z,620,0,620,1
2020-12-06T21:00:00Z,121,0,121,1
2020-12-06T22:00:00Z,481,0,481,0
2020-12-06T23:00:00Z,105,0,105,0
2020-12-07T00:00:00Z,148,0,148,0
2020-12-07T01:00:00Z,118,0,118,0
2020-12-07T02:00:00Z,556,0,556,0
2020-12-07T03:00:00Z,2121,0,2121,0
2020-12-07T04:00:00Z,470,0,470,0
2020-12-07T05:00:00Z,250,0,250,0
2020-12-07T06:00:00Z,1008,0,1008,1
2020-12-07T07:00:00Z,3253,0,3253,1
2020-12-07T08:00:00Z,406,0,406,1
2020-12-07T09:00:00Z,498,0,498,1
2020-12-07T10:00:00Z,319,0,319,1
2020-12-07T11:00:00Z,799,0,799,1
2020-12-07T12:00:00Z,666,0,666,1
2020-12-07T13:00:00Z,321,0,321,1
2020-12-07T14:00:00Z,291,0,291,1
2020-12-07T15:00:00Z,341,0,341,1
2020-12-07T16:00:00Z,225,0,225,1
2020-12-07T17:00:00Z,117,0,117,1
2020-12-07T18:00:00Z,127,0,127,1
2020-12-07T19:00:00Z,94,0,94,1
2020-12-07T20:00:00Z,585,0,585,1
2020-12-07T21:00:00Z,612,0,612,1
2020-12-07T22:00:00Z,74,0,74,0
2020-12-07T23:00:00Z,129,0,129,0
2020-12-08T00:00:00Z,220,0,220,0
2020-12-08T01:00:00Z,0,225,225,0
2020-12-08T02:00:00Z,0,95,95,0
2020-12-08T03:00:00Z,0,37,37,0
2020-12-08T04:00:00Z,0,100,100,0
2020-12-08T05:00:00Z,0,409,409,0
2020-12-08T06:00:00Z,0,312,312,1
2020-12-08T07:00:00Z,0,449,449,1
2020-12-08T08:00:00Z,0,312,312,1
2020-12-08T09:00:00Z,0,485,485,1
2020-12-08T10:00:00Z,0,300,300,1
2020-12-08T11:00:00Z,0,367,367,1
2020-12-08T12:00:00Z,0,353,353,1
2020-12-08T13:00:00Z,0,303,303,1
2020-12-08T14:00:00Z,0,340,340,1
2020-12-08T15:00:00Z,0,340,340,1
2020-12-08T16:00:00Z,0,269,269,1
2020-12-08T17:00:00Z,58,1,59,1
2020-12-08T18:00:00Z,140,0,140,1
2020-12-08T19:00:00Z,74,0,74,1
2020-12-08T20:00:00Z,540,0,540,1
2020-12-08T21:00:00Z,444,0,444,1
2020-12-08T22:00:00Z,306,0,306,0
2020-12-08T23:00:00Z,96,0,96,0
2020-12-09T00:00:00Z,167,0,167,0
2020-12-09T01:00:00Z,0,512,512,0
2020-12-09T02:00:00Z,0,333,333,0
2020-12-09T03:00:00Z,0,425,425,0
2020-12-09T04:00:00Z,0,381,381,0
2020-12-09T05:00:00Z,0,359,359,0
2020-12-09T06:00:00Z,0,532,532,1
2020-12-09T07:00:00Z,0,357,357,1
2020-12-09T08:00:00Z,0,460,460,1
2020-12-09T09:00:00Z,0,252,252,1
2020-12-09T10:00:00Z,0,391,391,1
2020-12-09T11:00:00Z,0,401,401,1
2020-12-09T12:00:00Z,0,500,500,1
2020-12-09T13:00:00Z,0,446,446,1
2020-12-09T14:00:00Z,0,332,332,1
2020-12-09T15:00:00Z,0,341,341,1
2020-12-09T16:00:00Z,0,262,262,1
2020-12-09T17:00:00Z,76,0,76,1
2020-12-09T18:00:00Z,115,0,115,1
2020-12-09T19:00:00Z,103,0,103,1
2020-12-09T20:00:00Z,551,0,551,1
2020-12-09T21:00:00Z,130,0,130,1
2020-12-09T22:00:00Z,597,0,597,0
2020-12-09T23:00:00Z,98,0,98,0
2020-12-10T00:00:00Z,100,0,100,0
2020-12-10T01:00:00Z,0,889,889,0
2020-12-10T02:00:00Z,0,250,250,0
2020-12-10T03:00:00Z,0,326,326,0
2020-12-10T04:00:00Z,0,310,310,0
2020-12-10T05:00:00Z,0,419,419,0
2020-12-10T06:00:00Z,0,326,326,1
2020-12-10T07:00:00Z,0,302,302,1
2020-12-10T08:00:00Z,0,336,336,1
2020-12-10T09:00:00Z,0,376,376,1
2020-12-10T10:00:00Z,0,1705,1705,1
2020-12-10T11:00:00Z,0,464,464,1
2020-12-10T12:00:00Z,0,1007,1007,1
2020-12-10T13:00:00Z,0,718,718,1
2020-12-10T14:00:00Z,0,285,285,1
2020-12-10T15:00:00Z,0,334,334,1
2020-12-10T16:00:00Z,0,187,187,1
2020-12-10T17:00:00Z,170,1,171,1
2020-12-10T18:00:00Z,70,0,70,1
2020-12-10T19:00:00Z,73,0,73,1
2020-12-10T20:00:00Z,627,0,627,1
2020-12-10T21:00:00Z,98,0,98,1
2020-12-10T22:00:00Z,505,0,505,0
2020-12-10T23:00:00Z,170,0,170,0
2020-12-11T00:00:00Z,121,0,121,0
2020-12-11T01:00:00Z,0,562,562,0
2020-12-11T02:00:00Z,0,327,327,0
2020-12-11T03:00:00Z,0,359,359,0
2020-12-11T04:00:00Z,0,482,482,0
2020-12-11T05:00:00Z,0,333,333,0
2020-12-11T06:00:00Z,0,560,560,1
2020-12-11T07:00:00Z,0,347,347,1
2020-12-11T08:00:00Z,0,378,378,1
2020-12-11T09:00:00Z,0,362,362,1
2020-12-11T10:00:00Z,0,350,350,1
2020-12-11T11:00:00Z,0,336,336,1
2020-12-11T12:00:00Z,0,1100,1100,1
2020-12-11T13:00:00Z,0,283,283,1
2020-12-11T14:00:00Z,0,832,832,1
2020-12-11T15:00:00Z,0,401,401,1
2020-12-11T16:00:00Z,0,710,710,1
2020-12-11T17:00:00Z,110,1,111,1
2020-12-11T18:00:00Z,83,0,83,1
2020-12-11T19:00:00Z,136,0,136,1
2020-12-11T20:00:00Z,39,0,39,1
2020-12-11T21:00:00Z,52,0,52,1
2020-12-11T22:00:00Z,132,0,132,0
2020-12-11T23:00:00Z,122,0,122,0
2020-12-12T00:00:00Z,89,0,89,0
2020-12-12T01:00:00Z,0,416,416,0
2020-12-12T02:00:00Z,0,301,301,0
2020-12-12T03:00:00Z,0,395,395,0
2020-12-12T04:00:00Z,0,263,263,0
2020-12-12T05:00:00Z,0,695,695,0
2020-12-12T06:00:00Z,0,406,406,1
2020-12-12T07:00:00Z,0,433,433,1
2020-12-12T08:00:00Z,0,460,460,1
2020-12-12T09:00:00Z,0,328,328,1
2020-12-12T10:00:00Z,0,410,410,1
2020-12-12T11:00:00Z,0,340,340,1
2020-12-12T12:00:00Z,0,281,281,1
2020-12-12T13:00:00Z,0,307,307,1
2020-12-12T14:00:00Z,0,345,345,1
2020-12-12T15:00:00Z,0,301,301,1
2020-12-12T16:00:00Z,0,210,210,1
2020-12-12T17:00:00Z,83,0,83,1
2020-12-12T18:00:00Z,73,0,73,1
2020-12-12T19:00:00Z,592,0,592,1
2020-12-12T20:00:00Z,70,0,70,1
2020-12-12T21:00:00Z,547,0,547,1
2020-12-12T22:00:00Z,113,0,113,0
2020-12-12T23:00:00Z,39,0,39,0
2020-12-13T00:00:00Z,308,0,308,0
2020-12-13T01:00:00Z,346,0,346,0
2020-12-13T02:00:00Z,361,0,361,0
2020-12-13T03:00:00Z,692,0,692,0
2020-12-13T04:00:00Z,140,0,140,0
2020-12-13T05:00:00Z,410,0,410,0
2020-12-13T06:00:00Z,277,0,277,1
2020-12-13T07:00:00Z,417,0,417,1
2020-12-13T08:00:00Z,1086,0,1086,1
2020-12-13T09:00:00Z,251,0,251,1
2020-12-13T10:00:00Z,1650,0,1650,1
2020-12-13T11:00:00Z,2033,0,2033,1
2020-12-13T12:00:00Z,1965,0,1965,1
2020-12-13T13:00:00Z,806,0,806,1
2020-12-13T14:00:00Z,259,0,259,1
2020-12-13T15:00:00Z,316,0,316,1
2020-12-13T16:00:00Z,185,0,185,1
2020-12-13T17:00:00Z,605,0,605,1
2020-12-13T18:00:00Z,62,0,62,1
2020-12-13T19:00:00Z,98,0,98,1
2020-12-13T20:00:00Z,566,0,566,1
2020-12-13T21:00:00Z,100,0,100,1
2020-12-13T22:00:00Z,556,0,556,0
2020-12-13T23:00:00Z,93,0,93,0
2020-12-14T00:00:00Z,83,0,83,0
2020-12-14T01:00:00Z,145,0,145,0
2020-12-14T02:00:00Z,292,0,292,0
2020-12-14T03:00:00Z,196,0,196,0
2020-12-14T04:00:00Z,2740,0,2740,0
2020-12-14T05:00:00Z,555,0,555,0
2020-12-14T06:00:00Z,549,0,549,1
2020-12-14T07:00:00Z,454,0,454,1
2020-12-14T08:00:00Z,549,0,549,1
2020-12-14T09:00:00Z,1266,0,1266,1
2020-12-14T10:00:00Z,1434,0,1434,1
2020-12-14T11:00:00Z,1879,0,1879,1
2020-12-14T12:00:00Z,1437,0,1437,1
2020-12-14T13:00:00Z,276,0,276,1
2020-12-14T14:00:00Z,346,0,346,1
2020-12-14T15:00:00Z,257,0,257,1
2020-12-14T16:00:00Z,233,0,233,1
2020-12-14T17:00:00Z,52,0,52,1
2020-12-14T18:00:00Z,98,0,98,1
2020-12-14T19:00:00Z,578,0,578,1
2020-12-14T20:00:00Z,99,0,99,1
2020-12-14T21:00:00Z,568,0,568,1
2020-12-14T22:00:00Z,91,0,91,0
2020-12-14T23:00:00Z,59,0,59,0
2020-12-15T00:00:00Z,174,0,174,0
2020-12-15T01:00:00Z,1,444,445,0
2020-12-15T02:00:00Z,0,242,242,0
2020-12-15T03:00:00Z,0,478,478,0
2020-12-15T04:00:00Z,0,238,238,0
2020-12-15T05:00:00Z,0,416,416,0
2020-12-15T06:00:00Z,0,297,297,1
2020-12-15T07:00:00Z,0,381,381,1
2020-12-15T08:00:00Z,0,193,193,1
2020-12-15T09:00:00Z,0,219,219,1
2020-12-15T10:00:00Z,0,76,76,1
2020-12-15T11:00:00Z,0,186,186,1
2020-12-15T12:00:00Z,0,222,222,1
2020-12-15T13:00:00Z,0,303,303,1
2020-12-15T14:00:00Z,0,289,289,1
2020-12-15T15:00:00Z,0,385,385,1
2020-12-15T16:00:00Z,0,219,219,1
2020-12-15T17:00:00Z,159,1,160,1
2020-12-15T18:00:00Z,49,0,49,1
2020-12-15T19:00:00Z,128,0,128,1
2020-12-15T20:00:00Z,521,0,521,1
2020-12-15T21:00:00Z,121,0,121,1
2020-12-15T22:00:00Z,846,0,846,0
2020-12-15T23:00:00Z,49,0,49,0
2020-12-16T00:00:00Z,370,0,370,0
2020-12-16T01:00:00Z,0,338,338,0
2020-12-16T02:00:00Z,0,397,397,0
2020-12-16T03:00:00Z,0,326,326,0
2020-12-16T04:00:00Z,0,291,291,0
2020-12-16T05:00:00Z,0,452,452,0
2020-12-16T06:00:00Z,0,280,280,1
2020-12-16T07:00:00Z,0,317,317,1
2020-12-16T08:00:00Z,0,320,320,1
2020-12-16T09:00:00Z,0,240,240,1
2020-12-16T10:00:00Z,0,469,469,1
2020-12-16T11:00:00Z,0,331,331,1
2020-12-16T12:00:00Z,0,383,383,1
2020-12-16T13:00:00Z,0,272,272,1
2020-12-16T14:00:00Z,0,342,342,1
2020-12-16T15:00:00Z,0,267,267,1
2020-12-16T16:00:00Z,0,273,273,1
2020-12-16T17:00:00Z,120,1,121,1
2020-12-16T18:00:00Z,95,0,95,1
2020-12-16T19:00:00Z,105,0,105,1
2020-12-16T20:00:00Z,499,0,499,1
2020-12-16T21:00:00Z,177,0,177,1
2020-12-16T22:00:00Z,498,0,498,0
2020-12-16T23:00:00Z,51,0,51,0
2020-12-17T00:00:00Z,248,0,248,0
2020-12-17T01:00:00Z,8,350,358,0
2020-12-17T02:00:00Z,0,359,359,0
2020-12-17T03:00:00Z,0,475,475,0
2020-12-17T04:00:00Z,0,409,409,0
2020-12-17T05:00:00Z,0,477,477,0
2020-12-17T06:00:00Z,0,339,339,1
2020-12-17T07:00:00Z,0,414,414,1
2020-12-17T08:00:00Z,0,247,247,1
2020-12-17T09:00:00Z,0,406,406,1
2020-12-17T10:00:00Z,0,398,398,1
2020-12-17T11:00:00Z,0,351,351,1
2020-12-17T12:00:00Z,0,300,300,1
2020-12-17T13:00:00Z,0,318,318,1
2020-12-17T14:00:00Z,0,286,286,1
2020-12-17T15:00:00Z,0,312,312,1
2020-12-17T16:00:00Z,0,213,213,1
2020-12-17T17:00:00Z,122,0,122,1
2020-12-17T18:00:00Z,99,0,99,1
2020-12-17T19:00:00Z,48,0,48,1
2020-12-17T20:00:00Z,566,0,566,1
2020-12-17T21:00:00Z,82,0,82,1
2020-12-17T22:00:00Z,508,0,508,0
2020-12-17T23:00:00Z,119,0,119,0
2020-12-18T00:00:00Z,124,0,124,0
2020-12-18T01:00:00Z,0,210,210,0
2020-12-18T02:00:00Z,0,78,78,0
2020-12-18T03:00:00Z,0,37,37,0
2020-12-18T04:00:00Z,0,308,308,0
2020-12-18T05:00:00Z,0,393,393,0
2020-12-18T06:00:00Z,0,466,466,1
2020-12-18T07:00:00Z,0,349,349,1
2020-12-18T08:00:00Z,0,798,798,1
2020-12-18T09:00:00Z,0,578,578,1
2020-12-18T10:00:00Z,0,335,335,1
2020-12-18T11:00:00Z,0,1826,1826,1
2020-12-18T12:00:00Z,0,476,476,1
2020-12-18T13:00:00Z,0,432,432,1
2020-12-18T14:00:00Z,0,331,331,1
2020-12-18T15:00:00Z,0,331,331,1
2020-12-18T16:00:00Z,0,328,328,1
2020-12-18T17:00:00Z,167,2,169,1
2020-12-18T18:00:00Z,123,0,123,1
2020-12-18T19:00:00Z,66,0,66,1
2020-12-18T20:00:00Z,555,0,555,1
2020-12-18T21:00:00Z,135,0,135,1
2020-12-18T22:00:00Z,524,0,524,0
2020-12-18T23:00:00Z,142,0,142,0
2020-12-19T00:00:00Z,93,0,93,0
